video_name,channel_name,channel_id,date,region_code,category_Id,category,view,like,comment,channel_subscribers,channel_videoCount,popularity_%,engagement_%,growth_%,duration(sec),country,country_code
ملخص مباراة البرتغال والأوروغواي - البرتغال تهزم أوروغواي وتبلغ ثمن النهائي,beIN SPORTS,UCJUCcJUeh0Cz2xyKwkw5Q1w,2022-11-28,AE,17,Sports,2581021,49702.0,1324.0,8500000,3913,1.93,0.05,30.36,296,United Arab Emirates,ARE
ITZY “Cheshire” M/V @ITZY,JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg,2022-11-30,AE,10,Music,3375142,537367.0,30969.0,26000000,1592,15.92,0.92,12.98,188,United Arab Emirates,ARE
تحدي الثلاثين نسخة كأس العالم|كلاسيكو عبدالله النعيمي ومحمد سهيل 🔥,M12 ALFOUZAN - قدم الكرة,UCqe2V_eejw-b5SeOw63TQNw,2022-11-30,AE,17,Sports,282450,44190.0,667.0,1120000,65,15.65,0.24,25.22,1722,United Arab Emirates,ARE
ملخص مباراة ويلز وإنكلترا | المنتخب الإنكليزي يتأهل إلى ثمن النهائي متصدراً للمجموعة الثانية,beIN SPORTS,UCJUCcJUeh0Cz2xyKwkw5Q1w,2022-11-29,AE,17,Sports,1388618,27587.0,896.0,8500000,3913,1.99,0.06,16.34,302,United Arab Emirates,ARE
الكورة مع السلامة | الحلقة الثانية - كولومبيا 🇨🇴,Da7ee7 - الدحيح,UCqW7G8SmyeEeQYzLOk5tdSg,2022-11-29,AE,28,Science & Technology,372223,38760.0,1323.0,1530000,42,10.41,0.36,24.33,1610,United Arab Emirates,ARE
عزمنا أصحابنا على منسف أردني 😳شوفو شو صار😂 اقوى مقلب 😂,Mix & douha - مكس و ضحى,UC-B-lno1COMej2JDwDd3kfA,2022-11-29,AE,22,People & Blogs,757149,105602.0,2489.0,864000,15,13.95,0.33,87.63,616,United Arab Emirates,ARE
اغرب لعبة غميضة في بيتي | اكتشفنا اماكن جديدة 😱,Narins Beauty,UCWXYdNyGX01rnTB-tQci8JQ,2022-11-29,AE,24,Entertainment,987309,76089.0,4627.0,13700000,418,7.71,0.47,7.21,718,United Arab Emirates,ARE
مشاعر مؤثرة لحظة استقبال العائلة لنا بعد العودة من السفر | صاروا يبكوا 🥺,عصومي ووليد - Assomi & Waleed,UCPoGWDam0BC4nGe5aomgd2Q,2022-11-29,AE,24,Entertainment,825868,50916.0,1852.0,8650000,445,6.17,0.22,9.55,642,United Arab Emirates,ARE
Match 15 HIGHLIGHTS | New York Strikers vs Morrisville SAMP Army | Day 6 | Abu Dhabi T10 Season 6,T10 League Official,UCgNs5GVvw5Td-05qp22sPLg,2022-11-29,AE,17,Sports,851382,17261.0,219.0,1890000,721,2.03,0.03,45.05,484,United Arab Emirates,ARE
[2022 MAMA] IVE&Kep1er&NMIXX&LESSERAFIM&NewJeans-ELEVEN+WADADA+O.O+FEARLESS+HypeBoy | Mnet 221129 방송,Mnet K-POP,UCbD8EppRX3ZwJSou-TVo90A,2022-11-29,AE,20,Gaming,4851819,273145.0,10330.0,20000000,29735,5.63,0.21,24.26,309,United Arab Emirates,ARE
أنا مشجع مغربي في كأس العالم 🇲🇦 #عمر_يجرب,عمر فاروق Omar Farooq,UC7lfpgPpjx7YvuE12_UcGrg,2022-11-28,AE,22,People & Blogs,435764,35352.0,1081.0,5330000,233,8.11,0.25,8.18,828,United Arab Emirates,ARE
تحدي لا تجيبها في الكوب الغلط !! ❌ 🥤,Ghaith Marwan غيث مروان,UCFGZTrhn2GbEsgQ8-12-rIA,2022-11-28,AE,27,Education,1109762,102920.0,7250.0,4810000,261,9.27,0.65,23.07,643,United Arab Emirates,ARE
"Billie Eilish: Same Interview, The Sixth Year | Vanity Fair",Vanity Fair,UCIsbLox_y9dCIMLd8tdC6qg,2022-11-28,AE,24,Entertainment,4653396,326565.0,12727.0,3910000,2554,7.02,0.27,119.01,1279,United Arab Emirates,ARE
نطيت من فوق طيارة، مرعب جداً | تحدّي ال ٢ مليون,Ana Beeko,UCk0XvmcUD1_LAZ5u66Xgc9w,2022-11-28,AE,24,Entertainment,334349,25934.0,1799.0,2040000,144,7.76,0.54,16.39,1398,United Arab Emirates,ARE
ملخص مباراة السنغال والإكوادور | السنغال تتخطّى الإكوادور وتعبر إلى ثمن النهائي,beIN SPORTS,UCJUCcJUeh0Cz2xyKwkw5Q1w,2022-11-29,AE,17,Sports,1434554,29169.0,1717.0,8500000,3913,2.03,0.12,16.88,197,United Arab Emirates,ARE
سلطان المرشد - فزت بك (أغنية خاصة) | 2022 | Sultan Al Murshed - Fezt Bek,Sultan Almurshed l سلطان المرشد,UCm-QWM1tXGhnxPfYxbHpgLw,2022-11-01,AE,22,People & Blogs,2887909,39067.0,934.0,95700,4,1.35,0.03,3017.67,268,United Arab Emirates,ARE
اغرب هدايا وصلتني في عيد ميلادي !!,elbasha _ برهوم باشا,UCAtqXkFpdm_wqYQdIPoARog,2022-11-29,AE,22,People & Blogs,266272,38357.0,1422.0,730000,18,14.41,0.53,36.48,1056,United Arab Emirates,ARE
قطر تهدد بمراجعة استثماراتها في لندن بعد حظر الإعلانات,BBC News عربي,UCelk6aHijZq-GJBBB9YpReA,2022-11-28,AE,25,News & Politics,699705,9857.0,1501.0,10500000,36304,1.41,0.21,6.66,385,United Arab Emirates,ARE
اخيرا خطبت 💍,Feras Abo Shaar فراس ابوشعر,UCH_TH3kxVEwHZ_t0fG4iCGQ,2022-11-28,AE,24,Entertainment,587838,38307.0,1338.0,259000,56,6.52,0.23,226.96,707,United Arab Emirates,ARE
كبرت عيلتنا ❤️ اخيراً اتقدم لها 💍,Ziad & Sara زياد و سارة,UCGsO2WD0ub_IIgnazwZ-AnA,2022-11-28,AE,22,People & Blogs,636902,42942.0,1236.0,1400000,101,6.74,0.19,45.49,954,United Arab Emirates,ARE
رونالدو غاضب جداً 😡 وهذا هو وحش الكرة البرازيلية 🇧🇷,محمد عدنان Mohamad Adnan,UCxUPU7lI249SW_j5WgByJRA,2022-11-29,AE,17,Sports,1465225,250028.0,5492.0,6060000,213,17.06,0.37,24.18,556,United Arab Emirates,ARE
اخيرا فرشت اوضه النوم الجديده بتاعت حماتي 💃بقي عندها اوضه تفتخر بيها بكت من الفرحة 🥺,شروق علام,UCHLJsqHk_EEULrcbVp9UV7A,2022-11-29,AE,22,People & Blogs,715351,46415.0,5140.0,435000,291,6.49,0.72,164.45,1414,United Arab Emirates,ARE
