id,video_name,channel_name,channel_id,date,duration,region_code,region_name,category,statistics,channel_stat
1,ملخص مباراة البرتغال والأوروغواي - البرتغال تهزم أوروغواي وتبلغ ثمن النهائي,beIN SPORTS,UCJUCcJUeh0Cz2xyKwkw5Q1w,2022-11-28T21:28:44Z,PT4M56S,AE,United Arab Emirates,17,"{'viewCount': '2581021', 'likeCount': '49702', 'favoriteCount': '0', 'commentCount': '1324'}","{'viewCount': '662059394', 'subscriberCount': '8500000', 'hiddenSubscriberCount': False, 'videoCount': '3913'}"
2,ITZY “Cheshire” M/V @ITZY,JYP Entertainment,UCaO6TYtlC8U5ttz62hTrZgg,2022-11-30T08:58:09Z,PT3M8S,AE,United Arab Emirates,10,"{'viewCount': '3375142', 'likeCount': '537367', 'favoriteCount': '0', 'commentCount': '30969'}","{'viewCount': '18109940685', 'subscriberCount': '26000000', 'hiddenSubscriberCount': False, 'videoCount': '1592'}"
3,تحدي الثلاثين نسخة كأس العالم|كلاسيكو عبدالله النعيمي ومحمد سهيل 🔥,M12 ALFOUZAN - قدم الكرة,UCqe2V_eejw-b5SeOw63TQNw,2022-11-30T10:00:04Z,PT28M42S,AE,United Arab Emirates,17,"{'viewCount': '282450', 'likeCount': '44190', 'favoriteCount': '0', 'commentCount': '667'}","{'viewCount': '70894383', 'subscriberCount': '1120000', 'hiddenSubscriberCount': False, 'videoCount': '65'}"
4,ملخص مباراة ويلز وإنكلترا | المنتخب الإنكليزي يتأهل إلى ثمن النهائي متصدراً للمجموعة الثانية,beIN SPORTS,UCJUCcJUeh0Cz2xyKwkw5Q1w,2022-11-29T21:23:19Z,PT5M2S,AE,United Arab Emirates,17,"{'viewCount': '1388618', 'likeCount': '27587', 'favoriteCount': '0', 'commentCount': '896'}","{'viewCount': '662059394', 'subscriberCount': '8500000', 'hiddenSubscriberCount': False, 'videoCount': '3913'}"
5,الكورة مع السلامة | الحلقة الثانية - كولومبيا 🇨🇴,Da7ee7 - الدحيح,UCqW7G8SmyeEeQYzLOk5tdSg,2022-11-29T18:01:24Z,PT26M50S,AE,United Arab Emirates,28,"{'viewCount': '372223', 'likeCount': '38760', 'favoriteCount': '0', 'commentCount': '1323'}","{'viewCount': '34045688', 'subscriberCount': '1530000', 'hiddenSubscriberCount': False, 'videoCount': '42'}"
6,عزمنا أصحابنا على منسف أردني 😳شوفو شو صار😂 اقوى مقلب 😂,Mix & douha - مكس و ضحى,UC-B-lno1COMej2JDwDd3kfA,2022-11-29T18:23:45Z,PT10M16S,AE,United Arab Emirates,22,"{'viewCount': '757149', 'likeCount': '105602', 'favoriteCount': '0', 'commentCount': '2489'}","{'viewCount': '20041184', 'subscriberCount': '864000', 'hiddenSubscriberCount': False, 'videoCount': '15'}"
7,اغرب لعبة غميضة في بيتي | اكتشفنا اماكن جديدة 😱,Narins Beauty,UCWXYdNyGX01rnTB-tQci8JQ,2022-11-29T15:26:20Z,PT11M58S,AE,United Arab Emirates,24,"{'viewCount': '987309', 'likeCount': '76089', 'favoriteCount': '0', 'commentCount': '4627'}","{'viewCount': '2115185041', 'subscriberCount': '13700000', 'hiddenSubscriberCount': False, 'videoCount': '418'}"
8,مشاعر مؤثرة لحظة استقبال العائلة لنا بعد العودة من السفر | صاروا يبكوا 🥺,عصومي ووليد - Assomi & Waleed,UCPoGWDam0BC4nGe5aomgd2Q,2022-11-29T17:08:55Z,PT10M42S,AE,United Arab Emirates,24,"{'viewCount': '825868', 'likeCount': '50916', 'favoriteCount': '0', 'commentCount': '1852'}","{'viewCount': '1808651844', 'subscriberCount': '8650000', 'hiddenSubscriberCount': False, 'videoCount': '445'}"
9,Match 15 HIGHLIGHTS | New York Strikers vs Morrisville SAMP Army | Day 6 | Abu Dhabi T10 Season 6,T10 League Official,UCgNs5GVvw5Td-05qp22sPLg,2022-11-29T05:46:46Z,PT8M4S,AE,United Arab Emirates,17,"{'viewCount': '851382', 'likeCount': '17261', 'favoriteCount': '0', 'commentCount': '219'}","{'viewCount': '373907051', 'subscriberCount': '1890000', 'hiddenSubscriberCount': False, 'videoCount': '721'}"
10,[2022 MAMA] IVE&Kep1er&NMIXX&LESSERAFIM&NewJeans-ELEVEN+WADADA+O.O+FEARLESS+HypeBoy | Mnet 221129 방송,Mnet K-POP,UCbD8EppRX3ZwJSou-TVo90A,2022-11-29T12:01:31Z,PT5M9S,AE,United Arab Emirates,20,"{'viewCount': '4851819', 'likeCount': '273145', 'favoriteCount': '0', 'commentCount': '10330'}","{'viewCount': '13666807480', 'subscriberCount': '20000000', 'hiddenSubscriberCount': False, 'videoCount': '29735'}"
11,أنا مشجع مغربي في كأس العالم 🇲🇦 #عمر_يجرب,عمر فاروق Omar Farooq,UC7lfpgPpjx7YvuE12_UcGrg,2022-11-28T21:31:51Z,PT13M48S,AE,United Arab Emirates,22,"{'viewCount': '435764', 'likeCount': '35352', 'favoriteCount': '0', 'commentCount': '1081'}","{'viewCount': '631991962', 'subscriberCount': '5330000', 'hiddenSubscriberCount': False, 'videoCount': '233'}"
12,تحدي لا تجيبها في الكوب الغلط !! ❌ 🥤,Ghaith Marwan غيث مروان,UCFGZTrhn2GbEsgQ8-12-rIA,2022-11-28T15:18:10Z,PT10M43S,AE,United Arab Emirates,27,"{'viewCount': '1109762', 'likeCount': '102920', 'favoriteCount': '0', 'commentCount': '7250'}","{'viewCount': '845538690', 'subscriberCount': '4810000', 'hiddenSubscriberCount': False, 'videoCount': '261'}"
13,"Billie Eilish: Same Interview, The Sixth Year | Vanity Fair",Vanity Fair,UCIsbLox_y9dCIMLd8tdC6qg,2022-11-28T20:00:03Z,PT21M19S,AE,United Arab Emirates,24,"{'viewCount': '4653396', 'likeCount': '326565', 'favoriteCount': '0', 'commentCount': '12727'}","{'viewCount': '1955901473', 'subscriberCount': '3910000', 'hiddenSubscriberCount': False, 'videoCount': '2554'}"
14,نطيت من فوق طيارة، مرعب جداً | تحدّي ال ٢ مليون,Ana Beeko,UCk0XvmcUD1_LAZ5u66Xgc9w,2022-11-28T19:07:22Z,PT23M18S,AE,United Arab Emirates,24,"{'viewCount': '334349', 'likeCount': '25934', 'favoriteCount': '0', 'commentCount': '1799'}","{'viewCount': '299794849', 'subscriberCount': '2040000', 'hiddenSubscriberCount': False, 'videoCount': '144'}"
15,ملخص مباراة السنغال والإكوادور | السنغال تتخطّى الإكوادور وتعبر إلى ثمن النهائي,beIN SPORTS,UCJUCcJUeh0Cz2xyKwkw5Q1w,2022-11-29T17:21:00Z,PT3M17S,AE,United Arab Emirates,17,"{'viewCount': '1434554', 'likeCount': '29169', 'favoriteCount': '0', 'commentCount': '1717'}","{'viewCount': '662059394', 'subscriberCount': '8500000', 'hiddenSubscriberCount': False, 'videoCount': '3913'}"
16,سلطان المرشد - فزت بك (أغنية خاصة) | 2022 | Sultan Al Murshed - Fezt Bek,Sultan Almurshed l سلطان المرشد,UCm-QWM1tXGhnxPfYxbHpgLw,2022-11-01T18:00:21Z,PT4M28S,AE,United Arab Emirates,22,"{'viewCount': '2887909', 'likeCount': '39067', 'favoriteCount': '0', 'commentCount': '934'}","{'viewCount': '58449924', 'subscriberCount': '95700', 'hiddenSubscriberCount': False, 'videoCount': '4'}"
17,اغرب هدايا وصلتني في عيد ميلادي !!,elbasha _ برهوم باشا,UCAtqXkFpdm_wqYQdIPoARog,2022-11-29T14:30:06Z,PT17M36S,AE,United Arab Emirates,22,"{'viewCount': '266272', 'likeCount': '38357', 'favoriteCount': '0', 'commentCount': '1422'}","{'viewCount': '11541026', 'subscriberCount': '730000', 'hiddenSubscriberCount': False, 'videoCount': '18'}"
18,قطر تهدد بمراجعة استثماراتها في لندن بعد حظر الإعلانات,BBC News عربي,UCelk6aHijZq-GJBBB9YpReA,2022-11-28T18:03:38Z,PT6M25S,AE,United Arab Emirates,25,"{'viewCount': '699705', 'likeCount': '9857', 'favoriteCount': '0', 'commentCount': '1501'}","{'viewCount': '4280953484', 'subscriberCount': '10500000', 'hiddenSubscriberCount': False, 'videoCount': '36304'}"
19,اخيرا خطبت 💍,Feras Abo Shaar فراس ابوشعر,UCH_TH3kxVEwHZ_t0fG4iCGQ,2022-11-28T15:44:18Z,PT11M47S,AE,United Arab Emirates,24,"{'viewCount': '587838', 'likeCount': '38307', 'favoriteCount': '0', 'commentCount': '1338'}","{'viewCount': '15515095', 'subscriberCount': '259000', 'hiddenSubscriberCount': False, 'videoCount': '56'}"
20,كبرت عيلتنا ❤️ اخيراً اتقدم لها 💍,Ziad & Sara زياد و سارة,UCGsO2WD0ub_IIgnazwZ-AnA,2022-11-28T15:45:39Z,PT15M54S,AE,United Arab Emirates,22,"{'viewCount': '636902', 'likeCount': '42942', 'favoriteCount': '0', 'commentCount': '1236'}","{'viewCount': '104715702', 'subscriberCount': '1400000', 'hiddenSubscriberCount': False, 'videoCount': '101'}"
21,رونالدو غاضب جداً 😡 وهذا هو وحش الكرة البرازيلية 🇧🇷,محمد عدنان Mohamad Adnan,UCxUPU7lI249SW_j5WgByJRA,2022-11-29T17:45:40Z,PT9M16S,AE,United Arab Emirates,17,"{'viewCount': '1465225', 'likeCount': '250028', 'favoriteCount': '0', 'commentCount': '5492'}","{'viewCount': '504640991', 'subscriberCount': '6060000', 'hiddenSubscriberCount': False, 'videoCount': '213'}"
22,اخيرا فرشت اوضه النوم الجديده بتاعت حماتي 💃بقي عندها اوضه تفتخر بيها بكت من الفرحة 🥺,شروق علام,UCHLJsqHk_EEULrcbVp9UV7A,2022-11-29T20:50:06Z,PT23M34S,AE,United Arab Emirates,22,"{'viewCount': '715351', 'likeCount': '46415', 'favoriteCount': '0', 'commentCount': '5140'}","{'viewCount': '76386197', 'subscriberCount': '435000', 'hiddenSubscriberCount': False, 'videoCount': '291'}"
23,Georges Wassouf - Byetkallem Aalaya [Official Music Video] (2022) / جورج وسوف - بيتكلّم عليّا,Georges Wassouf,UCRpVH-l7I3j1bZHcrW1c-dg,2022-11-26T15:00:10Z,PT6M30S,AE,United Arab Emirates,10,"{'viewCount': '1769644', 'likeCount': '63800', 'favoriteCount': '0', 'commentCount': '3955'}","{'viewCount': '227306994', 'subscriberCount': '983000', 'hiddenSubscriberCount': False, 'videoCount': '30'}"
24,Argentina vs. Mexico - Melhores Momentos,RTP,UCWPpeeDOykyH5ducPITCDPw,2022-11-26T21:06:44Z,PT2M6S,AE,United Arab Emirates,17,"{'viewCount': '2344038', 'likeCount': '28907', 'favoriteCount': '0'}","{'viewCount': '530399808', 'subscriberCount': '615000', 'hiddenSubscriberCount': False, 'videoCount': '24828'}"
25,شوفت أختي أخيرآ بالفستان الابيض😍الفيرست لوك معايا,Aya Koky77,UC-xfN8lG_XqI9Lo1kF7GBSQ,2022-11-29T18:00:52Z,PT10M3S,AE,United Arab Emirates,28,"{'viewCount': '175142', 'likeCount': '8742', 'favoriteCount': '0', 'commentCount': '667'}","{'viewCount': '139795430', 'subscriberCount': '844000', 'hiddenSubscriberCount': False, 'videoCount': '1103'}"
